tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0045298,movie,La voce del sangue,La voce del sangue,0,1952,,,
tt0045991,movie,Law and Order,Law and Order,0,1953,,80,Western
tt0046023,movie,Maddalena,Maddalena,0,1954,,102,Drama
tt0046523,movie,Der VogelhÃ¤ndler,Der VogelhÃ¤ndler,0,1953,,92,Musical
tt0046896,movie,Deep in My Heart,Deep in My Heart,0,1954,,132,"Biography,Comedy,Musical"
tt0047030,movie,The Glenn Miller Story,The Glenn Miller Story,0,1954,,115,"Biography,Drama,Music"
tt0048164,movie,Ein Herz schlÃ¤gt fÃ¼r Erika,Ein Herz schlÃ¤gt fÃ¼r Erika,0,1956,,92,Drama
tt0048697,movie,Afternoon of the Bulls,Tarde de toros,0,1956,,75,Drama
tt0049414,movie,A Kiss Before Dying,A Kiss Before Dying,0,1956,,94,"Crime,Film-Noir,Mystery"
tt0049615,movie,"The Phantom from 10,000 Leagues","The Phantom from 10,000 Leagues",0,1955,,81,"Horror,Sci-Fi"
tt0050184,movie,Bernardine,Bernardine,0,1957,,95,"Comedy,Musical"
tt0050710,movie,Mister Cory,Mister Cory,0,1957,,92,"Crime,Drama,Film-Noir"
tt0051624,movie,Folies-BergÃ¨re,Folies-BergÃ¨re,0,1956,,102,"Musical,Romance"
tt0054853,movie,The Errand Boy,The Errand Boy,0,1961,,92,"Comedy,Family"
tt0055656,tvSeries,Sir Francis Drake,Sir Francis Drake,0,1961,,25,"Adventure,Family"
tt0055804,movie,El vampiro sangriento,El vampiro sangriento,0,1962,,110,Horror
tt0055935,movie,Rififi in Tokyo,Rififi Ã  Tokyo,0,1963,,98,"Adventure,Crime,Drama"
tt0057954,movie,Coast of Skeletons,Coast of Skeletons,0,1965,,90,"Adventure,Drama"
tt0058031,movie,Woman Is a Wonderful Thing,La donna Ã¨ una cosa meravigliosa,0,1964,,90,Comedy
tt0058522,movie,Rhino!,Rhino!,0,1964,,91,"Action,Adventure"
tt0059642,short,Reel Pink,Reel Pink,0,1965,,6,"Animation,Comedy,Short"
tt0059836,movie,24 Hours to Kill,24 Hours to Kill,0,1965,,94,"Drama,Thriller"
tt0060056,movie,Operation White Shark,A.D.3 operazione squalo bianco,0,1966,,82,"Action,Adventure,Crime"
tt0061095,movie,Le Tigre se parfume Ã  la dynamite,Le Tigre se parfume Ã  la dynamite,0,1965,,85,"Adventure,Comedy,Crime"
tt0061572,movie,Joe l'implacabile,Joe l'implacabile,0,1967,,98,Western
tt0061634,movie,Eye of the Devil,Eye of the Devil,0,1966,,92,"Crime,Horror,Mystery"
tt0062173,movie,Ragan,Ragan,0,1968,,83,Adventure
tt0062513,tvMovie,"You're in Love, Charlie Brown","You're in Love, Charlie Brown",0,1967,,30,"Animation,Comedy,Family"
tt0063142,movie,Isle of the Snake People,La muerte viviente,0,1971,,90,"Horror,Mystery"
tt0063470,short,Psychedelic Pink,Psychedelic Pink,0,1968,,6,"Animation,Comedy,Short"
tt0063863,tvSeries,The Adventures of Gulliver,The Adventures of Gulliver,0,1968,1969,30,"Adventure,Animation,Fantasy"
tt0064487,short,Injun Trouble,Injun Trouble,0,1969,,6,"Animation,Comedy,Family"
tt0065290,tvSeries,Doomwatch,Doomwatch,0,1970,2016,50,"Drama,Sci-Fi"
tt0065320,tvSeries,The Misfit,The Misfit,0,1970,1971,60,Comedy
tt0065747,tvMovie,FrÃ¶hliche Weihnachten,FrÃ¶hliche Weihnachten,0,1970,,72,
tt0065875,movie,I Will Remember You Always,I Will Remember You Always,0,1970,,,
tt0068017,movie,The Hitch of It,Zoff,0,1972,,92,Romance
tt0068101,tvSeries,The Man from Haven,The Man from Haven,0,1972,,60,Drama
tt0069204,movie,Sabse Bada Sukh,Sabse Bada Sukh,0,1972,,,"Comedy,Drama"
tt0069838,movie,Bell from Hell,La campana del infierno,0,1973,,106,"Horror,Thriller"
tt0070237,tvMovie,Jarrett,Jarrett,0,1973,,73,"Drama,Thriller"
tt0071333,movie,Clara es el precio,Clara es el precio,0,1975,,101,"Comedy,Drama"
tt0071368,short,Cravos de Abril,Cravos de Abril,0,1974,,30,"Documentary,Short"
tt0071426,tvMovie,The Disappearance of Flight 412,The Disappearance of Flight 412,0,1974,,72,"Drama,Mystery,Sci-Fi"
tt0072359,movie,Verdict,Verdict,0,1974,,95,Drama
tt0072858,movie,The Black Dragon's Revenge,Long zheng hu dou jing wu hun,0,1975,,90,"Action,Drama"
tt0073917,movie,"Storia di arcieri, pugni e occhi neri","Storia di arcieri, pugni e occhi neri",0,1976,,96,Adventure
tt0074632,movie,Hearts High,Hjerter er trumf,0,1976,,,Drama
tt0075185,movie,The Second Power,El segundo poder,0,1976,,108,"Drama,History"
tt0089263,movie,Heated Vengeance,Heated Vengeance,0,1985,,82,"Action,Adventure"
tt0090162,tvMovie,Those Golden Years,Those Golden Years,0,1985,,,
tt0090553,tvSeries,Zoobilee Zoo,Zoobilee Zoo,0,1986,1988,30,"Comedy,Family"
tt0091524,movie,Miracles,Miracles,0,1986,,87,Comedy
tt0091991,movie,Soul Man,Soul Man,0,1986,,104,"Comedy,Romance"
tt0092279,movie,The Crack Connection,Zabou,0,1987,,102,Action
tt0092638,movie,Benji the Hunted,Benji the Hunted,0,1987,,88,"Adventure,Family"
tt0093190,movie,Hikaru onna,Hikaru onna,0,1987,,118,Drama
tt0093620,movie,Night Friend,Night Friend,0,1988,,95,Drama
tt0093673,movie,On a volÃ© Charlie Spencer!,On a volÃ© Charlie Spencer!,0,1986,,96,Comedy
tt0093907,movie,Saint-Tropez interdit,Saint-Tropez interdit,0,1985,,67,
tt0094085,movie,Los dueÃ±os del silencio,Los dueÃ±os del silencio,0,1987,,98,"Drama,Thriller"
tt0095894,movie,Pound Puppies and the Legend of Big Paw,Pound Puppies and the Legend of Big Paw,0,1988,,76,"Animation,Comedy,Family"
tt0096259,movie,Things Change,Things Change,0,1988,,100,"Comedy,Crime,Drama"
tt0096819,tvMovie,Die Angst und die Macht - Verhandlungen in Sachen Johannes R. Becher,Die Angst und die Macht - Verhandlungen in Sachen Johannes R. Becher,0,1991,,70,Documentary
tt0097446,tvMovie,Goldeneye,Goldeneye,0,1989,,105,Biography
tt0097673,short,Kitchen Sink,Kitchen Sink,0,1989,,14,"Horror,Short"
tt0098049,tvMovie,The Outside Woman,The Outside Woman,0,1989,,100,Drama
tt0098501,short,Tour d'amour,Tour d'amour,0,1989,,9,Short
tt0098535,tvMovie,Turn Back the Clock,Turn Back the Clock,0,1989,,91,"Drama,Thriller"
tt0098664,movie,Wo ai Tang Ren Jie,Wo ai Tang Ren Jie,0,1989,,96,Romance
tt0099335,movie,Czarne stopy,Czarne stopy,0,1987,,98,"Adventure,Family"
tt0099554,movie,Fatal Sky,Fatal Sky,0,1990,,92,"Action,Sci-Fi"
tt0101976,video,Queen: Greatest Flix II,Queen: Greatest Flix II,0,1991,,81,Music
tt0103637,video,Akai Hayate,Akai Hayate,0,1992,,80,"Animation,Sci-Fi"
tt0105299,movie,Ett rÃ¤ttfÃ¤rdigt krig?,Ett rÃ¤ttfÃ¤rdigt krig?,0,1992,,62,Documentary
tt0105499,tvMovie,Survive the Savage Sea,Survive the Savage Sea,0,1992,,120,Drama
tt0106845,tvMovie,Extralarge: Diamonds,Extralarge: Diamonds,0,1993,,85,"Comedy,Thriller"
tt0107791,movie,Patschenkino,Patschenkino,0,1993,,,
tt0108921,tvSeries,The Secret World of Alex Mack,The Secret World of Alex Mack,0,1994,1998,30,"Comedy,Drama,Family"
tt0109875,movie,Gather at the River: A Bluegrass Celebration,Gather at the River: A Bluegrass Celebration,0,1994,,,"Documentary,Music"
tt0110463,movie,Dr. Wai in the Scriptures with No Words,Mao xian wang,0,1996,,91,"Action,Adventure,Comedy"
tt0110676,movie,"No Dessert, Dad, Till You Mow the Lawn","No Dessert, Dad, Till You Mow the Lawn",0,1994,,89,Comedy
tt0111225,tvMovie,Snowbound: The Jim and Jennifer Stolpa Story,Snowbound: The Jim and Jennifer Stolpa Story,0,1994,,92,Drama
tt0111280,movie,Star Trek: Generations,Star Trek: Generations,0,1994,,118,"Action,Adventure,Mystery"
tt0114131,movie,Pie in the Sky,Pie in the Sky,0,1995,,95,"Comedy,Romance"
tt0114400,movie,Seven Sighs,Seven Sighs,0,1995,,100,
tt0116050,movie,Dead of Night,Dead of Night,0,1996,,95,Horror
tt0118369,tvMiniSeries,Line 300,Kav 300,0,1997,,,Drama
tt0119185,video,GenÂ¹Â³,GenÂ¹Â³,0,2000,,73,"Action,Adventure,Animation"
tt0120310,movie,Termination Man,Termination Man,0,1998,,92,"Action,Drama"
tt0120856,movie,Tarzan and the Lost City,Tarzan and the Lost City,0,1998,,83,"Action,Adventure,Family"
tt0122130,movie,Brick and Mirror,Khesht va Ayeneh,0,1965,,126,Drama
tt0122606,movie,Med kÃ¦rlig hilsen,Med kÃ¦rlig hilsen,0,1971,,85,Comedy
tt0123868,movie,Round the Moons Between Earth and Sea,Giro di lune tra terra e mare,0,1997,,101,Drama
tt0125672,movie,Possession,BesÃ¦ttelse,0,1944,,80,"Crime,Drama"
tt0126312,movie,Friend of the Family II,Friend of the Family II,0,1996,,83,Thriller
tt0129002,movie,ComemoraÃ§Ã£o do AniversÃ¡rio do ArmistÃ­cio,ComemoraÃ§Ã£o do AniversÃ¡rio do ArmistÃ­cio,0,1927,,,Documentary
tt0129932,movie,Cocktails,Cocktails,0,1928,,100,Comedy
tt0130078,tvMovie,Liebe LÃ¼gen,Liebe LÃ¼gen,0,1997,,89,Comedy
tt0130084,movie,Lille Teddy,Lille Teddy,0,1915,,,
