tconst,directors,writers
tt4006906,nm0009287,
tt4007182,nm4377965,nm4377965
tt7409902,"nm9293497,nm9293496",nm9293496
tt5811360,nm7243541,nm7243541
tt5812506,,
tt5813726,nm4413417,
tt5814866,,
tt5815286,nm4636104,"nm4326662,nm4969616,nm3253719,nm8207443,nm8207441"
tt5815382,nm8223839,
tt5817450,"nm1756590,nm1977565,nm3107188",
tt5818098,nm8439801,
tt5821558,nm1266087,
tt5822400,,
tt5822582,"nm4209811,nm4080945","nm1147747,nm4060890"
tt5822774,"nm4417559,nm8231564",nm4417559
tt5824648,nm6660946,"nm7499963,nm6660946"
tt5824910,nm6122840,nm6122840
tt5825286,nm6290916,nm6290916
tt5828764,nm5950300,nm5950300
tt5829004,nm1352201,nm1352201
tt5829310,nm0052131,
tt5830550,,nm8238026
tt5830940,nm8226280,nm8226280
tt5831738,nm4941906,
tt7077126,"nm8994582,nm8994584",
tt7077678,nm8510565,"nm7705408,nm1126770,nm9097470"
tt7077832,nm3215474,
tt7078294,nm0268733,nm0268733
tt7082368,nm3981744,
tt7082438,nm9099784,nm9099784
tt7085398,nm9101471,nm9101471
tt3216848,nm4010940,nm4010940
tt3219076,nm0733427,"nm1153295,nm0733427"
tt3219380,nm5977780,nm5977780
tt3219670,nm0629913,nm0629913
tt3220950,,
tt3223072,nm5980810,nm5980810
tt3224278,"nm5982394,nm5982395",nm5982394
tt3225348,nm2513110,nm2513110
tt3225370,nm1435971,nm1435971
tt3225904,nm4165432,
tt3231876,nm3714444,
tt3232570,,
tt3233594,nm0372401,"nm0256297,nm0337746,nm0372401,nm0511686"
tt3233736,nm0944381,nm0944381
tt3234346,nm4069844,nm4069844
tt7091178,nm6657613,
tt7092952,,
tt5278190,,
tt5279478,nm6061796,nm6061796
tt5279674,nm1464392,nm1464392
tt5280500,nm3547197,nm3547197
tt5281412,nm3062097,nm3411514
tt5285024,nm7802383,nm7802383
tt5285242,nm3326145,nm3326145
tt5296258,nm3509141,"nm3416182,nm5796482,nm3509141,nm4646781"
tt5297022,nm3746453,nm3746453
tt5298310,nm1684072,"nm7086925,nm2052085,nm7814734,nm3634760,nm7814738"
tt5298726,nm2788581,
tt5299292,nm2669796,nm2669796
tt5299956,,
tt7925410,nm1160495,"nm4526557,nm0552357"
tt7926286,nm1535757,nm9583600
tt6709248,nm4512832,nm4512832
tt6710486,nm8883758,nm8883758
tt6710836,"nm1541413,nm3121847,nm1442874,nm7680350,nm0612049,nm2739241,nm1015020,nm2467378,nm0178392","nm1868375,nm4577601,nm2050242,nm0909233,nm1144729,nm1757227,nm9148909,nm5775160,nm0299301"
tt4675854,,"nm1227375,nm3328207,nm0487166,nm3598310"
tt4677010,nm7319402,
tt4677128,"nm3646520,nm1389167",nm0598531
tt4677358,nm0890505,nm0890505
tt4677462,nm5615226,nm5615226
tt4678156,,"nm1948422,nm5478757"
tt4678446,nm0129841,nm0129841
tt4678566,nm7321577,
tt4679118,nm3305403,nm3305403
tt4679828,"nm1489896,nm0146941",nm1489896
tt4681038,"nm2911813,nm1205709",
tt4681340,nm6153648,"nm6153648,nm5803703"
